;fecha;año;Mes;Día;Hora;perfil_20
17754;2024-01-10;2024;1;10;19;0.00017006832877016338
17755;2024-01-10;2024;1;10;20;0.00019073745910236673
17756;2024-01-10;2024;1;10;21;0.00020607207818364466
17757;2024-01-10;2024;1;10;22;0.0002078771994805889
17758;2024-01-10;2024;1;10;23;0.00018777760787163522
17759;2024-01-10;2024;1;10;24;0.00015482235968706826
17760;2024-01-11;2024;1;11;1;0.0001242824438360131
17761;2024-01-11;2024;1;11;2;0.00010214102091513975
17762;2024-01-11;2024;1;11;3;9.016075932717621e-05
17763;2024-01-11;2024;1;11;4;8.419008442293649e-05
17764;2024-01-11;2024;1;11;5;8.232217462325791e-05
17765;2024-01-11;2024;1;11;6;8.514631238323183e-05
17766;2024-01-11;2024;1;11;7;9.775047906621417e-05
17767;2024-01-11;2024;1;11;8;0.0001249969246430493
17768;2024-01-11;2024;1;11;9;0.0001381414981514222
17769;2024-01-11;2024;1;11;10;0.0001441755046472694
17770;2024-01-11;2024;1;11;11;0.00015121040658730195
17771;2024-01-11;2024;1;11;12;0.0001504791145072179
17772;2024-01-11;2024;1;11;13;0.0001507739033112436
17773;2024-01-11;2024;1;11;14;0.0001589186622311663
17774;2024-01-11;2024;1;11;15;0.0001622143532452855
17775;2024-01-11;2024;1;11;16;0.00015454505914279672
17776;2024-01-11;2024;1;11;17;0.00014841130584370316
17777;2024-01-11;2024;1;11;18;0.00015115119779945027
17778;2024-01-11;2024;1;11;19;0.00017006832877016338
17779;2024-01-11;2024;1;11;20;0.00019073745910236673
17780;2024-01-11;2024;1;11;21;0.00020607207818364466
17781;2024-01-11;2024;1;11;22;0.0002078771994805889
17782;2024-01-11;2024;1;11;23;0.00018777760787163522
17783;2024-01-11;2024;1;11;24;0.00015482235968706826
17784;2024-01-12;2024;1;12;1;0.00012583217462153366
17785;2024-01-12;2024;1;12;2;0.00010336264204897656
17786;2024-01-12;2024;1;12;3;9.08202004739153e-05
17787;2024-01-12;2024;1;12;4;8.465002138140892e-05
17788;2024-01-12;2024;1;12;5;8.260013313102755e-05
17789;2024-01-12;2024;1;12;6;8.544882623007252e-05
17790;2024-01-12;2024;1;12;7;9.757292815210879e-05
17791;2024-01-12;2024;1;12;8;0.00012426486285220794
17792;2024-01-12;2024;1;12;9;0.0001376569443386188
17793;2024-01-12;2024;1;12;10;0.00014426029436488441
17794;2024-01-12;2024;1;12;11;0.0001511963517298319
17795;2024-01-12;2024;1;12;12;0.00015010213480750752
17796;2024-01-12;2024;1;12;13;0.0001493279170854658
17797;2024-01-12;2024;1;12;14;0.0001564924376326141
17798;2024-01-12;2024;1;12;15;0.00016026815328264274
17799;2024-01-12;2024;1;12;16;0.00015354508270621912
17800;2024-01-12;2024;1;12;17;0.00014770476110154683
17801;2024-01-12;2024;1;12;18;0.00014928098645858724
17802;2024-01-12;2024;1;12;19;0.00016576566509528905
17803;2024-01-12;2024;1;12;20;0.0001818399267885384
17804;2024-01-12;2024;1;12;21;0.00019208405063677816
17805;2024-01-12;2024;1;12;22;0.00019636339286733991
17806;2024-01-12;2024;1;12;23;0.0001832281680182409
17807;2024-01-12;2024;1;12;24;0.00015821508735913275
17808;2024-01-13;2024;1;13;1;0.00013492793197192215
17809;2024-01-13;2024;1;13;2;0.00011213040003498026
17810;2024-01-13;2024;1;13;3;9.717655406008993e-05
17811;2024-01-13;2024;1;13;4;8.908213885459252e-05
17812;2024-01-13;2024;1;13;5;8.552298539538826e-05
17813;2024-01-13;2024;1;13;6;8.583512587193037e-05
17814;2024-01-13;2024;1;13;7;8.96541844344257e-05
17815;2024-01-13;2024;1;13;8;9.890409150819862e-05
17816;2024-01-13;2024;1;13;9;0.0001143987348441712
17817;2024-01-13;2024;1;13;10;0.0001418104854949599
17818;2024-01-13;2024;1;13;11;0.00016152024990655952
17819;2024-01-13;2024;1;13;12;0.00016512455040706365
17820;2024-01-13;2024;1;13;13;0.0001637051097876907
17821;2024-01-13;2024;1;13;14;0.0001715473276758996
17822;2024-01-13;2024;1;13;15;0.00017410625712529096
17823;2024-01-13;2024;1;13;16;0.0001605324558328075
17824;2024-01-13;2024;1;13;17;0.00014997530341417982
17825;2024-01-13;2024;1;13;18;0.00014835107996393558
17826;2024-01-13;2024;1;13;19;0.0001638175490287345
17827;2024-01-13;2024;1;13;20;0.0001771079335926139
17828;2024-01-13;2024;1;13;21;0.00018680553005227463
17829;2024-01-13;2024;1;13;22;0.00019246005307663855
17830;2024-01-13;2024;1;13;23;0.00018089573971343402
17831;2024-01-13;2024;1;13;24;0.0001589554736208952
17832;2024-01-14;2024;1;14;1;0.00013376388376405064
17833;2024-01-14;2024;1;14;2;0.00011426398663274923
17834;2024-01-14;2024;1;14;3;9.899369326911987e-05
17835;2024-01-14;2024;1;14;4;8.952949302285657e-05
17836;2024-01-14;2024;1;14;5;8.468596192375877e-05
17837;2024-01-14;2024;1;14;6;8.364728510051566e-05
17838;2024-01-14;2024;1;14;7;8.557126392247713e-05
17839;2024-01-14;2024;1;14;8;9.076026720672019e-05
17840;2024-01-14;2024;1;14;9;9.951652306503375e-05
17841;2024-01-14;2024;1;14;10;0.00012346945164056728
17842;2024-01-14;2024;1;14;11;0.0001475854593162981
17843;2024-01-14;2024;1;14;12;0.0001581343437286137
17844;2024-01-14;2024;1;14;13;0.00015988160679605552
17845;2024-01-14;2024;1;14;14;0.000166835655585542
17846;2024-01-14;2024;1;14;15;0.00016693329702170408
17847;2024-01-14;2024;1;14;16;0.00015044124797205952
17848;2024-01-14;2024;1;14;17;0.00014111201002820284
17849;2024-01-14;2024;1;14;18;0.00014163691359933954
17850;2024-01-14;2024;1;14;19;0.0001612699085609897
17851;2024-01-14;2024;1;14;20;0.00017836363606125695
17852;2024-01-14;2024;1;14;21;0.00019109190076922581
17853;2024-01-14;2024;1;14;22;0.00019319542772347942
17854;2024-01-14;2024;1;14;23;0.00017580036557858118
17855;2024-01-14;2024;1;14;24;0.0001479461362055988
17856;2024-01-15;2024;1;15;1;0.00012110665331971697
17857;2024-01-15;2024;1;15;2;0.00010034428030509824
17858;2024-01-15;2024;1;15;3;8.88542393090438e-05
17859;2024-01-15;2024;1;15;4;8.307594531430551e-05
17860;2024-01-15;2024;1;15;5;8.115584397257335e-05
17861;2024-01-15;2024;1;15;6;8.389048826344161e-05
17862;2024-01-15;2024;1;15;7;9.616458848796642e-05
17863;2024-01-15;2024;1;15;8;0.00012284931828581376
17864;2024-01-15;2024;1;15;9;0.000135312998699586
17865;2024-01-15;2024;1;15;10;0.00014170976355838471
17866;2024-01-15;2024;1;15;11;0.0001497129601493009
17867;2024-01-15;2024;1;15;12;0.00015004454786026958
17868;2024-01-15;2024;1;15;13;0.00015102500278691965
17869;2024-01-15;2024;1;15;14;0.00015959743027477697
17870;2024-01-15;2024;1;15;15;0.0001637201226306878
17871;2024-01-15;2024;1;15;16;0.00015580732870035003
17872;2024-01-15;2024;1;15;17;0.00014888240723076032
17873;2024-01-15;2024;1;15;18;0.0001513353575292988
17874;2024-01-15;2024;1;15;19;0.00016988129480757005
17875;2024-01-15;2024;1;15;20;0.00019128729208313334
17876;2024-01-15;2024;1;15;21;0.00020725427173665033
17877;2024-01-15;2024;1;15;22;0.00020862216223566492
17878;2024-01-15;2024;1;15;23;0.00018612335590586016
